Field,Type,Null,Key,Default,Extra
ID,bigint(20),NO,PRI,NULL,auto_increment
Version,int(11),NO,,NULL,
Datum,datetime,NO,,NULL,
Smena,varchar(255),YES,,NULL,
Komitent,varchar(255),YES,,NULL,
Artikal,varchar(255),YES,,NULL,
Pakovanje,varchar(255),YES,,NULL,
Kolicina,"decimal(19,5)",NO,,NULL,
MestoKontrole,varchar(255),YES,,NULL,
Nalaz,text,YES,,NULL,
RezultatKontrole,tinyint(1),NO,,NULL,
Pregledao,varchar(255),YES,,NULL,
PrisutnoLice1,varchar(255),YES,,NULL,
PrisutnoLice2,varchar(255),YES,,NULL,
Primiti,tinyint(1),NO,,NULL,
Vratiti,tinyint(1),NO,,NULL,
Reklamirati,tinyint(1),NO,,NULL,
PrimitiUzSelekciju,varchar(255),YES,,NULL,
UslovnoPrimitiZa,varchar(255),YES,,NULL,
Napomena,varchar(255),YES,,NULL,
Kreirano,datetime,NO,,NULL,
Azurirano,datetime,NO,,NULL,
RadniNalogID,bigint(20),NO,MUL,NULL,
